frame,time,ROI,R,G,B
5,250.0,left temporal,183.8409090909091,142.56363636363636,111.57272727272728
5,250.0,right temporal,146.53271028037383,107.51268357810414,82.72763684913218
5,250.0,left malar,185.5997506234414,139.59351620947632,111.10473815461347
5,250.0,right malar,168.06430338004947,122.35366859027205,98.40643033800495
5,250.0,left lower cheek,163.3116883116883,123.56818181818181,98.19967532467533
5,250.0,right lower cheek,154.37674418604652,112.95736434108527,89.06279069767442
5,250.0,chin,127.55939524838013,89.4524838012959,68.88552915766739
5,250.0,left marionette fold,136.08273381294964,100.10431654676259,77.12230215827338
5,250.0,right marionette fold,122.78279569892473,86.69677419354839,66.9483870967742
6,300.0,lower medial forehead,100.08183306055646,73.96399345335516,60.64975450081833
6,300.0,left lower lateral forehead,160.34733893557424,117.73389355742297,90.48179271708683
6,300.0,right lower lateral forehead,122.44648648648649,89.95027027027027,71.27459459459459
6,300.0,glabella,141.52941176470588,103.18181818181819,85.06818181818181
6,300.0,upper nasal dorsum,145.06735751295338,103.88341968911917,83.72020725388602
6,300.0,lower nasal dorsum,224.22784810126583,168.66455696202533,138.12025316455697
6,300.0,soft triangle,187.0235294117647,132.78823529411764,111.98823529411764
6,300.0,left ala,204.28813559322035,147.8135593220339,121.61016949152543
6,300.0,right ala,193.7863247863248,136.74358974358975,113.51282051282051
6,300.0,nasal tip,224.01869158878506,166.53271028037383,138.6355140186916
6,300.0,left lower nasal sidewall,195.92727272727274,143.12727272727273,114.01818181818182
6,300.0,right lower nasal sidewall,185.2189781021898,133.74452554744525,110.4963503649635
6,300.0,left mid nasal sidewall,173.76,124.78,96.7
6,300.0,right mid nasal sidewall,171.77894736842106,122.81052631578947,100.4
6,300.0,philtrum,130.76142131979697,85.71573604060913,70.36548223350253
6,300.0,left upper lip,160.03937007874015,112.84251968503936,90.05511811023622
6,300.0,right upper lip,153.19251336898395,107.36898395721926,87.98930481283422
6,300.0,left nasolabial fold,180.56701030927834,131.4020618556701,106.3298969072165
6,300.0,right nasolabial fold,156.568093385214,114.10505836575875,93.01167315175097
6,300.0,left temporal,183.8409090909091,142.56363636363636,111.57272727272728
6,300.0,right temporal,146.53271028037383,107.51268357810414,82.72763684913218
6,300.0,left malar,185.5997506234414,139.59351620947632,111.10473815461347
6,300.0,right malar,168.06430338004947,122.35366859027205,98.40643033800495
6,300.0,left lower cheek,163.3116883116883,123.56818181818181,98.19967532467533
6,300.0,right lower cheek,154.56432517758483,113.0655090765588,89.1657458563536
6,300.0,chin,127.54994629430719,89.47261009667025,68.92696025778733
6,300.0,left marionette fold,135.82720588235293,99.86764705882354,77.01838235294117
6,300.0,right marionette fold,122.78279569892473,86.69677419354839,66.9483870967742
7,350.0,lower medial forehead,100.08183306055646,73.96399345335516,60.64975450081833
7,350.0,left lower lateral forehead,160.34733893557424,117.73389355742297,90.48179271708683
7,350.0,right lower lateral forehead,122.44648648648649,89.95027027027027,71.27459459459459
7,350.0,glabella,141.52941176470588,103.18181818181819,85.06818181818181
7,350.0,upper nasal dorsum,145.06735751295338,103.88341968911917,83.72020725388602
7,350.0,lower nasal dorsum,224.22784810126583,168.66455696202533,138.12025316455697
7,350.0,soft triangle,187.0235294117647,132.78823529411764,111.98823529411764
7,350.0,left ala,204.28813559322035,147.8135593220339,121.61016949152543
7,350.0,right ala,193.7863247863248,136.74358974358975,113.51282051282051
7,350.0,nasal tip,224.01869158878506,166.53271028037383,138.6355140186916
7,350.0,left lower nasal sidewall,195.92727272727274,143.12727272727273,114.01818181818182
7,350.0,right lower nasal sidewall,185.2189781021898,133.74452554744525,110.4963503649635
7,350.0,left mid nasal sidewall,173.76,124.78,96.7
7,350.0,right mid nasal sidewall,171.77894736842106,122.81052631578947,100.4
7,350.0,philtrum,131.45098039215685,86.47058823529412,70.86764705882354
7,350.0,left upper lip,162.7984496124031,115.31782945736434,92.24031007751938
7,350.0,right upper lip,153.19251336898395,107.36898395721926,87.98930481283422
7,350.0,left nasolabial fold,180.22043010752688,131.01612903225808,106.05913978494624
7,350.0,right nasolabial fold,156.568093385214,114.10505836575875,93.01167315175097
7,350.0,left temporal,184.25345622119815,142.85714285714286,111.76497695852535
7,350.0,right temporal,146.53271028037383,107.51268357810414,82.72763684913218
7,350.0,left malar,185.5997506234414,139.59351620947632,111.10473815461347
7,350.0,right malar,168.01476620180475,122.25840853158327,98.3461853978671
7,350.0,left lower cheek,163.3116883116883,123.56818181818181,98.19967532467533
7,350.0,right lower cheek,154.56432517758483,113.0655090765588,89.1657458563536
7,350.0,chin,127.5010729613734,89.43562231759657,68.90021459227468
7,350.0,left marionette fold,135.82720588235293,99.86764705882354,77.01838235294117
7,350.0,right marionette fold,122.78279569892473,86.69677419354839,66.9483870967742
8,400.0,lower medial forehead,100.79436152570482,74.41127694859038,60.74295190713101
8,400.0,left lower lateral forehead,160.94281729428172,118.1673640167364,89.66945606694561
8,400.0,right lower lateral forehead,123.54555198285102,90.64737406216506,72.32047159699893
8,400.0,glabella,142.8586810228802,104.44683714670256,85.66487213997308
8,400.0,upper nasal dorsum,145.36243386243387,104.2936507936508,83.58994708994709
8,400.0,lower nasal dorsum,224.7987804878049,169.2560975609756,139.14634146341464
8,400.0,soft triangle,190.10650887573965,135.15976331360946,113.54437869822485
8,400.0,left ala,208.86666666666667,151.93333333333334,123.76666666666667
8,400.0,right ala,194.02479338842974,135.71074380165288,113.92561983471074
8,400.0,nasal tip,225.68571428571428,166.64761904761906,139.1238095238095
8,400.0,left lower nasal sidewall,194.48275862068965,142.48275862068965,112.58620689655173
8,400.0,right lower nasal sidewall,185.1094890510949,133.05839416058393,110.34306569343066
8,400.0,left mid nasal sidewall,175.94444444444446,125.96296296296296,98.20370370370371
8,400.0,right mid nasal sidewall,172.93684210526317,124.36842105263158,101.69473684210526
8,400.0,philtrum,132.7941176470588,87.73039215686275,71.6470588235294
8,400.0,left upper lip,165.128,116.8,94.168
8,400.0,right upper lip,154.3804347826087,109.13586956521739,89.69021739130434
8,400.0,left nasolabial fold,179.11827956989248,128.71505376344086,103.8225806451613
8,400.0,right nasolabial fold,155.47619047619048,112.9563492063492,92.44047619047619
8,400.0,left temporal,187.49333333333334,144.33777777777777,112.25333333333333
8,400.0,right temporal,147.2422969187675,108.15686274509804,83.51820728291317
8,400.0,left malar,187.4448574969021,140.60223048327137,111.64931846344486
8,400.0,right malar,168.7002457002457,123.02129402129403,98.84684684684684
8,400.0,left lower cheek,165.7327868852459,124.89180327868853,99.02622950819672
8,400.0,right lower cheek,154.59412231930102,112.9912629070691,89.05877680698967
8,400.0,chin,130.39936102236422,92.07667731629392,70.90628328008519
8,400.0,left marionette fold,136.87692307692308,101.13461538461539,77.00769230769231
8,400.0,right marionette fold,124.35269709543569,88.350622406639,68.05186721991701
9,450.0,lower medial forehead,100.8592715231788,74.45529801324503,60.771523178807946
9,450.0,left lower lateral forehead,160.34203296703296,117.76785714285714,89.50686813186813
9,450.0,right lower lateral forehead,123.30322580645161,90.44623655913979,72.24301075268818
9,450.0,glabella,142.31746031746033,103.98544973544973,85.30291005291005
9,450.0,upper nasal dorsum,145.65508021390374,104.524064171123,83.6951871657754
9,450.0,lower nasal dorsum,225.5632911392405,169.95569620253164,139.77848101265823
9,450.0,soft triangle,188.79393939393938,134.01818181818183,112.60606060606061
9,450.0,left ala,205.5737704918033,149.0655737704918,121.50819672131148
9,450.0,right ala,193.75,135.44166666666666,113.66666666666667
9,450.0,nasal tip,224.93577981651376,165.88073394495413,138.90825688073394
9,450.0,left lower nasal sidewall,197.57142857142858,145.12698412698413,115.15873015873017
9,450.0,right lower nasal sidewall,185.36296296296297,133.21481481481482,110.5037037037037
9,450.0,left mid nasal sidewall,177.1,127.06,99.1
9,450.0,right mid nasal sidewall,173.58,125.04,102.32
9,450.0,philtrum,133.8134715025907,88.6321243523316,72.32642487046633
9,450.0,left upper lip,160.97080291970804,112.75182481751825,90.95620437956204
9,450.0,right upper lip,153.45454545454547,108.3048128342246,89.02673796791444
9,450.0,left nasolabial fold,181.44692737430168,131.0223463687151,105.67039106145252
9,450.0,right nasolabial fold,155.47619047619048,112.9563492063492,92.44047619047619
9,450.0,left temporal,186.2991452991453,144.0811965811966,112.74358974358974
9,450.0,right temporal,149.05337078651687,109.5997191011236,84.61235955056179
9,450.0,left malar,187.54814814814816,140.6641975308642,111.71234567901234
9,450.0,right malar,168.60478547854785,122.94554455445545,98.78465346534654
9,450.0,left lower cheek,165.49674267100977,124.78827361563518,99.04234527687296
9,450.0,right lower cheek,154.80835380835381,113.0876330876331,89.15724815724816
9,450.0,chin,130.3807486631016,92.05882352941177,70.9005347593583
9,450.0,left marionette fold,136.81071428571428,101.13571428571429,76.89642857142857
9,450.0,right marionette fold,124.47881355932203,88.39194915254237,68.0677966101695
10,500.0,lower medial forehead,99.80405405405405,73.96114864864865,59.93074324324324
10,500.0,left lower lateral forehead,161.115760111576,119.15760111576012,90.2928870292887
10,500.0,right lower lateral forehead,123.78213507625273,91.12745098039215,72.81917211328977
10,500.0,glabella,142.2844155844156,103.96623376623377,85.61558441558442
10,500.0,upper nasal dorsum,146.65025906735752,105.13471502590673,84.55181347150258
10,500.0,lower nasal dorsum,225.97452229299364,170.0955414012739,140.0828025477707
10,500.0,soft triangle,187.6206896551724,133.11494252873564,111.79885057471265
10,500.0,left ala,209.10526315789474,151.59649122807016,123.6140350877193
10,500.0,right ala,193.96521739130435,135.76521739130436,114.40869565217392
10,500.0,nasal tip,225.79807692307693,166.75,139.05769230769232
10,500.0,left lower nasal sidewall,194.8985507246377,142.71014492753622,112.21739130434783
10,500.0,right lower nasal sidewall,187.77464788732394,135.5211267605634,112.83098591549296
10,500.0,left mid nasal sidewall,175.9814814814815,125.92592592592592,98.18518518518519
10,500.0,right mid nasal sidewall,172.35353535353536,123.82828282828282,100.95959595959596
10,500.0,philtrum,132.66190476190476,88.18095238095238,72.26190476190476
10,500.0,left upper lip,165.0597014925373,117.88805970149254,94.2910447761194
10,500.0,right upper lip,154.10994764397907,108.94764397905759,89.98952879581152
10,500.0,left nasolabial fold,177.65934065934067,129.42857142857142,103.26923076923077
10,500.0,right nasolabial fold,154.27027027027026,111.24324324324324,90.95752895752896
10,500.0,left temporal,186.5589519650655,143.73799126637556,112.0524017467249
10,500.0,right temporal,146.79943899018232,108.05890603085554,83.63814866760168
10,500.0,left malar,188.03571428571428,140.57758620689654,111.35837438423646
10,500.0,right malar,168.8857381150959,123.20433694745621,98.90075062552127
10,500.0,left lower cheek,164.9257425742574,124.14686468646865,98.81848184818482
10,500.0,right lower cheek,154.4975884244373,112.56350482315112,88.69533762057878
10,500.0,chin,131.2119275825346,91.94036208732695,70.89456869009585
10,500.0,left marionette fold,137.24468085106383,101.36879432624113,77.52482269503547
10,500.0,right marionette fold,124.72669491525424,88.5677966101695,67.91949152542372
11,550.0,lower medial forehead,99.80405405405405,73.96114864864865,59.93074324324324
11,550.0,left lower lateral forehead,160.3598901098901,118.62225274725274,89.89423076923077
11,550.0,right lower lateral forehead,123.78213507625273,91.12745098039215,72.81917211328977
11,550.0,glabella,142.2844155844156,103.96623376623377,85.61558441558442
11,550.0,upper nasal dorsum,146.65025906735752,105.13471502590673,84.55181347150258
11,550.0,lower nasal dorsum,225.97452229299364,170.0955414012739,140.0828025477707
11,550.0,soft triangle,186.63690476190476,132.25,111.2202380952381
11,550.0,left ala,207.8095238095238,150.4126984126984,122.52380952380952
11,550.0,right ala,193.96521739130435,135.76521739130436,114.40869565217392
11,550.0,nasal tip,225.79807692307693,166.75,139.05769230769232
11,550.0,left lower nasal sidewall,198.05454545454546,144.96363636363637,114.45454545454545
11,550.0,right lower nasal sidewall,187.77464788732394,135.5211267605634,112.83098591549296
11,550.0,left mid nasal sidewall,176.3,125.92,98.32
11,550.0,right mid nasal sidewall,172.35353535353536,123.82828282828282,100.95959595959596
11,550.0,philtrum,131.27918781725887,86.8274111675127,71.2741116751269
11,550.0,left upper lip,161.5984251968504,114.71653543307086,91.8267716535433
11,550.0,right upper lip,152.9090909090909,107.6951871657754,88.88770053475936
11,550.0,left nasolabial fold,178.1237113402062,129.96391752577318,103.69072164948453
11,550.0,right nasolabial fold,156.6546184738956,113.5863453815261,92.99598393574297
11,550.0,left temporal,186.6086956521739,143.77391304347827,112.07826086956521
11,550.0,right temporal,147.5361527967258,108.66575716234652,84.11869031377898
11,550.0,left malar,187.8435960591133,140.40886699507388,111.24261083743842
11,550.0,right malar,168.76151315789474,123.04276315789474,98.78865131578948
11,550.0,left lower cheek,164.9257425742574,124.14686468646865,98.81848184818482
11,550.0,right lower cheek,154.40244897959184,112.48653061224489,88.60408163265306
11,550.0,chin,132.06093579978238,92.58868335146899,71.38084874863982
11,550.0,left marionette fold,137.3548387096774,101.49462365591398,77.59856630824373
11,550.0,right marionette fold,124.69344608879493,88.53699788583509,67.89640591966173
12,600.0,lower medial forehead,100.76858108108108,73.95439189189189,60.39358108108108
12,600.0,left lower lateral forehead,160.43956043956044,118.56318681318682,89.90247252747253
12,600.0,right lower lateral forehead,123.51453175457482,90.96770721205597,72.90635091496233
12,600.0,glabella,142.81782945736435,104.41989664082688,86.1124031007752
12,600.0,upper nasal dorsum,145.06958762886597,104.09278350515464,83.00515463917526
12,600.0,lower nasal dorsum,225.67295597484278,170.16352201257862,140.1572327044025
12,600.0,soft triangle,187.4611111111111,134.2,112.43888888888888
12,600.0,left ala,210.30645161290323,152.98387096774192,125.25806451612904
12,600.0,right ala,195.35135135135135,136.72072072072072,115.22522522522523
12,600.0,nasal tip,223.74747474747474,166.989898989899,138.95959595959596
12,600.0,left lower nasal sidewall,194.86363636363637,142.13636363636363,111.92424242424242
12,600.0,right lower nasal sidewall,185.0,133.19672131147541,110.89344262295081
12,600.0,left mid nasal sidewall,177.1551724137931,126.86206896551724,98.5
12,600.0,right mid nasal sidewall,172.70833333333334,124.30208333333333,101.60416666666667
12,600.0,philtrum,134.44174757281553,88.43203883495146,72.85436893203884
12,600.0,left upper lip,167.34920634920636,119.56349206349206,96.12698412698413
12,600.0,right upper lip,157.1912568306011,110.95628415300547,92.36065573770492
12,600.0,left nasolabial fold,179.06,130.725,104.7
12,600.0,right nasolabial fold,156.40148698884758,113.02602230483271,92.50185873605948
12,600.0,left temporal,186.74786324786325,143.47435897435898,112.95726495726495
12,600.0,right temporal,148.36428571428573,109.11857142857143,84.89
12,600.0,left malar,187.88498789346247,140.364406779661,111.38861985472155
12,600.0,right malar,168.90285714285713,123.37061224489796,99.06938775510204
12,600.0,left lower cheek,163.5064724919094,123.5032362459547,98.2621359223301
12,600.0,right lower cheek,154.00573770491803,112.63032786885246,88.45081967213115
12,600.0,chin,130.2941176470588,91.11871657754011,70.30588235294118
12,600.0,left marionette fold,136.55421686746988,100.3012048192771,76.53413654618474
12,600.0,right marionette fold,124.99565217391304,88.65869565217392,68.13260869565218
13,650.0,lower medial forehead,100.05718954248366,73.72385620915033,60.26307189542484
13,650.0,left lower lateral forehead,160.5579809004093,117.7530695770805,89.62346521145976
13,650.0,right lower lateral forehead,123.10021551724138,91.16379310344827,72.91918103448276
13,650.0,glabella,142.64878671775224,104.24393358876118,85.81481481481481
13,650.0,upper nasal dorsum,145.58080808080808,104.4469696969697,83.26767676767676
13,650.0,lower nasal dorsum,225.64779874213838,170.0566037735849,139.75471698113208
13,650.0,soft triangle,183.140243902439,130.390243902439,109.03048780487805
13,650.0,left ala,205.17741935483872,147.9516129032258,121.48387096774194
13,650.0,right ala,192.03418803418805,133.71794871794873,112.67521367521367
13,650.0,nasal tip,220.68141592920355,164.01769911504425,136.55752212389382
13,650.0,left lower nasal sidewall,194.75862068965517,141.91379310344828,111.43103448275862
13,650.0,right lower nasal sidewall,185.7357142857143,133.75,110.74285714285715
13,650.0,left mid nasal sidewall,177.33333333333334,127.0925925925926,98.42592592592592
13,650.0,right mid nasal sidewall,174.33333333333334,126.10416666666667,102.16666666666667
13,650.0,philtrum,136.47783251231527,90.05911330049261,73.5960591133005
13,650.0,left upper lip,167.1417910447761,118.11194029850746,95.69402985074628
13,650.0,right upper lip,160.0463917525773,113.1340206185567,94.53092783505154
13,650.0,left nasolabial fold,182.91752577319588,132.63917525773195,107.27319587628865
13,650.0,right nasolabial fold,161.42561983471074,117.68181818181819,96.85950413223141
13,650.0,left temporal,186.36693548387098,143.2258064516129,112.63709677419355
13,650.0,right temporal,148.72,109.58142857142857,85.26
13,650.0,left malar,188.12379807692307,140.51442307692307,111.92548076923077
13,650.0,right malar,169.42655601659752,123.77427385892116,99.5668049792531
13,650.0,left lower cheek,162.20673076923077,122.50801282051282,98.22115384615384
13,650.0,right lower cheek,154.13773431132844,112.75794621026895,88.44906275468622
13,650.0,chin,128.65189873417722,89.83755274261604,69.96097046413502
13,650.0,left marionette fold,133.4892086330935,98.28057553956835,75.24460431654676
13,650.0,right marionette fold,124.53145336225596,88.8763557483731,68.13882863340564
14,700.0,lower medial forehead,100.60132890365449,74.14617940199335,60.58637873754153
14,700.0,left lower lateral forehead,160.45578231292518,117.68299319727892,89.59863945578232
14,700.0,right lower lateral forehead,122.55496828752642,90.723044397463,72.60993657505286
14,700.0,glabella,142.423273657289,104.05882352941177,85.6918158567775
14,700.0,upper nasal dorsum,146.01785714285714,104.76530612244898,83.48214285714286
14,700.0,lower nasal dorsum,225.64779874213838,170.0566037735849,139.75471698113208
14,700.0,soft triangle,183.85882352941175,130.93529411764706,109.51764705882353
14,700.0,left ala,205.17741935483872,147.9516129032258,121.48387096774194
14,700.0,right ala,192.03418803418805,133.71794871794873,112.67521367521367
